,1,2,3,4,5,6,7,8,9,10
2,"((-4058, 7084), (-4649, 7059), (-4306, 6877), (0, 0))","((-6086, 10194), (-2950, 10592), (-494, 10149), (0, 0))","((-7082, 11910), (-3085, 12243), (86, 11465), (0, 0))","((-7049, 11907), (-2634, 12126), (960, 11654), (0, 0))","((-6965, 11893), (-1811, 12207), (1988, 11686), (0, 0))","((-6705, 11823), (-1571, 11999), (2632, 11690), (0, 0))","((-6655, 11841), (-5655, 12111), (-2358, 11345), (0, 0))","((-6953, 11907), (-6264, 12036), (-3932, 11426), (0, 0))","((-6658, 11888), (-6433, 12139), (-5130, 11501), (0, 0))","((-24296, 44190), (-24405, 44959), (-22388, 42130), (0, 0))"
3,"((-4257, 7145), (-4951, 7407), (-4664, 6812), (0, 0))","((-7189, 11819), (-3764, 12176), (-852, 11604), (0, 0))","((-6313, 10367), (-2432, 10448), (140, 10112), (0, 0))","((-7165, 11877), (-2416, 12066), (1104, 11390), (0, 0))","((-6926, 11752), (-1733, 12099), (1632, 11508), (0, 0))","((-7149, 11731), (-1592, 12178), (2430, 11503), (0, 0))","((-7151, 11889), (-5500, 12034), (-2142, 11475), (0, 0))","((-6890, 11830), (-6157, 12081), (-3668, 11370), (0, 0))","((-6917, 11761), (-6449, 11973), (-5054, 11219), (0, 0))","((-25190, 44310), (-24168, 44950), (-23562, 42401), (0, 0))"
4,"((-4395, 7181), (-4819, 7245), (-4472, 6716), (0, 0))","((-7288, 11800), (-3447, 12213), (-858, 11333), (0, 0))","((-7140, 11636), (-2818, 12018), (-188, 11730), (0, 0))","((-6553, 10431), (-2106, 10532), (1090, 10141), (0, 0))","((-7372, 11750), (-1544, 11900), (1786, 11681), (0, 0))","((-7484, 11882), (-1527, 12097), (2478, 11397), (0, 0))","((-7088, 11698), (-5517, 11937), (-1726, 11339), (0, 0))","((-7235, 11955), (-6161, 11987), (-3688, 11216), (0, 0))","((-7232, 11976), (-6613, 12097), (-5348, 11394), (0, 0))","((-25583, 44117), (-24483, 44857), (-22774, 42069), (0, 0))"
5,"((-4673, 7067), (-4953, 7241), (-4432, 6696), (0, 0))","((-7617, 11647), (-3359, 12181), (-1112, 11374), (0, 0))","((-7786, 11758), (-2841, 11999), (76, 11384), (0, 0))","((-7600, 11866), (-2315, 12023), (462, 11657), (0, 0))","((-6944, 10364), (-1572, 10668), (1574, 10135), (0, 0))","((-7731, 11875), (-1610, 12088), (2244, 11534), (0, 0))","((-7467, 11807), (-5741, 12179), (-2440, 11560), (0, 0))","((-7598, 11992), (-6234, 12082), (-3486, 11351), (0, 0))","((-7502, 11838), (-6433, 11993), (-5102, 11335), (0, 0))","((-27862, 44452), (-23566, 44292), (-23464, 41944), (0, 0))"
6,"((-4592, 7040), (-3539, 6115), (-3700, 6500), (0, 0))","((-7740, 11820), (-1648, 10662), (-124, 10944), (0, 0))","((-7800, 11936), (-1290, 10388), (680, 11126), (0, 0))","((-8107, 12085), (-849, 10493), (1522, 11077), (0, 0))","((-7662, 11674), (-384, 10644), (2974, 11139), (0, 0))","((-6719, 10435), (208, 8940), (2914, 9739), (0, 0))","((-7627, 11857), (-1262, 7450), (-52, 10198), (0, 0))","((-7602, 11946), (-4803, 10773), (-3046, 10993), (0, 0))","((-7563, 12003), (-5013, 10659), (-4842, 11001), (0, 0))","((-27484, 44156), (-18762, 39062), (-19504, 40802), (0, 0))"
7,"((-4705, 7165), (-771, 5899), (-2468, 6496), (0, 0))","((-7610, 11672), (1659, 10433), (1428, 11004), (0, 0))","((-8089, 11747), (1892, 10524), (1724, 10980), (0, 0))","((-7946, 11824), (2146, 10546), (3518, 11277), (0, 0))","((-7896, 11926), (2639, 10411), (4108, 11134), (0, 0))","((-7771, 11759), (3255, 10597), (4224, 11032), (0, 0))","((-6839, 10461), (4124, 9218), (2426, 9617), (0, 0))","((-7838, 12020), (1481, 7621), (-394, 10087), (0, 0))","((-7573, 11919), (-1979, 10533), (-3192, 10968), (0, 0))","((-28349, 44351), (-8241, 39195), (-14738, 40807), (0, 0))"
8,"((-4906, 7208), (2005, 5801), (-1266, 6377), (0, 0))","((-8330, 11740), (4691, 10471), (2616, 11206), (0, 0))","((-8026, 11854), (5155, 10683), (3362, 11063), (0, 0))","((-8146, 11964), (5122, 10510), (4146, 11125), (0, 0))","((-7859, 11893), (5453, 10627), (5062, 10943), (0, 0))","((-7770, 11624), (5730, 10814), (6038, 11279), (0, 0))","((-7818, 11674), (7401, 11135), (3538, 11141), (0, 0))","((-6730, 10288), (6234, 9150), (1930, 9499), (0, 0))","((-7776, 11682), (3428, 7686), (-938, 10239), (0, 0))","((-29220, 44382), (2991, 38801), (-11130, 40855), (0, 0))"
9,"((-5095, 7005), (4829, 5973), (-186, 6421), (0, 0))","((-8400, 11840), (7694, 10490), (4470, 10939), (0, 0))","((-8390, 11812), (7696, 10470), (4886, 10867), (0, 0))","((-8545, 11937), (7776, 10674), (5584, 11108), (0, 0))","((-8326, 11858), (8178, 10788), (6276, 11120), (0, 0))","((-8466, 11924), (8407, 10719), (6888, 11110), (0, 0))","((-8383, 11899), (9053, 10853), (4868, 11220), (0, 0))","((-8384, 11886), (9462, 11146), (2968, 11124), (0, 0))","((-7047, 10241), (8043, 9345), (1286, 9647), (0, 0))","((-30651, 44261), (24878, 28462), (-1302, 38277), (0, 0))"
10,"((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))","((0, 0), (0, 0), (0, 0), (0, 0))"
